taxon,n.taxa
Rumex,29
Rheum,40
Oxyria,2
Fallopia,15
Atraphaxis,14
Fagopyrum,16
Parapteropyrum,1
Koenigia,1
Gisekia,2
Boerhavia,5
Commicarpus,2
Pisonia,3
Phytolacca,4
Trianthema,1
Sesuvium,1
Mollugo,4
Glinus,2
Portulaca,5
Polycnemum,1
Aerva,2
Achyranthes,9
Cyathula,4
Psilotrichum,5
Deeringia,2
Suaeda,22
Halopeplis,1
Kalidium,7
Halostachys,1
Halocnemum,1
Camphorosma,3
Bassia,3
Panderia,1
Kochia,10
Sympegma,1
Salsola,36
Iljinia,1
Horaninovia,1
Cornulaca,1
Girgensohnia,1
Haloxylon,2
Anabasis,8
Halothamnus,1
Petrosimonia,4
Halimocnemis,3
Nanophyton,2
Corispermum,31
Agriophyllum,3
Dysphania,4
Chenopodium,20
Microgynoecium,1
Atriplex,21
Archiatriplex,1
Axyris,4
Krascheninnikovia,6
Herniaria,3
Gymnocarpos,1
Polycarpon,1
Drymaria,2
Polycarpaea,2
Moehringia,3
Arenaria,132
Stellaria,88
Holosteum,1
Cerastium,30
Pseudostellaria,12
Lepyrodiclis,2
Psammosilene,1
Gypsophila,19
Dianthus,19
Petrorhagia,1
Acanthophyllum,1
Lychnis,6
Vaccaria,1
Silene,126
Spergularia,5
Thylacospermum,1
Spergula,1
Minuartia,9
Brachystemma,1
Sagina,4
Malania,1
Ximenia,1
Olax,3
Schoepfia,6
Loranthus,6
Dendrophthoe,1
Scurrula,16
Taxillus,31
Tolypanthus,2
Helixanthera,7
Macrosolen,5
Buckleya,3
Thesium,18
Champereia,3
Opilia,1
Urobotrya,1
Osyris,1
Pyrularia,1
Arceuthobium,5
Viscum,14
Korthalsella,1
Phacellaria,6
Dendrotrophe,8
Erythropalum,1
Paeonia,27
Cercidiphyllum,1
Mytilaria,1
Chunia,1
Disanthus,1
Loropetalum,5
Corylopsis,24
Hamamelis,1
Sycopsis,2
Distylium,12
Distyliopsis,5
Sinowilsonia,3
Fortunearia,1
Eustigma,3
Parrotia,1
Exbucklandia,3
Rhodoleia,6
Liquidambar,2
Altingia,8
Semiliquidambar,3
Daphniphyllum,10
Itea,18
Ribes,108
Saxifraga,307
Astilbe,10
Saniculiphyllum,1
Tanakaea,1
Tiarella,1
Mitella,2
Oresitrophe,1
Mukdenia,1
Bergenia,10
Rodgersia,10
Astilboides,1
Peltoboykinia,1
Chrysosplenium,50
Tillaea,5
Kalanchoe,5
Phedimus,12
Rhodiola,76
Sinocrassula,14
Hylotelephium,22
Orostachys,10
Sedum,152
Pseudosedum,2
Rosularia,3
Penthorum,1
Myriophyllum,12
Cynomorium,1
Cercis,5
Bauhinia,60
Lysidice,2
Saraca,2
Sindora,2
Zenia,1
Cladrastis,6
Zornia,2
Smithia,5
Dalbergia,29
Pterocarpus,1
Bowringia,1
Lotus,10
Sesbania,6
Parochetus,1
Cicer,2
Trifolium,13
Melilotus,4
Trigonella,8
Medicago,17
Lathyrus,21
Vicia,44
Alhagi,1
Hedysarum,51
Corethrodendron,9
Onobrychis,3
Caragana,77
Halimodendron,1
Calophaca,3
Chesniella,2
Chesneya,9
Gueldenstaedtia,3
Tibetia,7
Phyllolobium,21
Colutea,4
Eremosparton,1
Oxytropis,166
Astragalus,472
Wisteria,4
Callerya,26
Glycyrrhiza,8
Indigofera,88
Aganope,3
Abrus,5
Galactia,2
Canavalia,5
Millettia,25
Ophrestia,1
Derris,20
Fordia,2
Pongamia,1
Tephrosia,14
Shuteria,4
Craspedolobium,1
Lespedeza,32
Campylotropis,44
Ohwia,2
Phyllodium,4
Dendrolobium,7
Tadehagi,2
Hylodesmum,17
Christia,5
Uraria,7
Desmodium,41
Alysicarpus,7
Trifidacanthus,1
Mecopus,1
Mucuna,20
Cochlianthus,4
Spatholobus,10
Butea,3
Cajanus,7
Rhynchosia,15
Eriosema,1
Flemingia,17
Dolichos,4
Vigna,19
Dumasia,9
Pueraria,13
Nogra,1
Amphicarpaea,3
Teramnus,1
Phylacium,1
Glycine,6
Dysolobium,2
Erythrina,6
Apios,6
Clitoria,5
Ammodendron,1
Sophora,37
Euchresta,7
Maackia,7
Thermopsis,12
Salweenia,2
Piptanthus,2
Ammopiptanthus,1
Crotalaria,52
Ormosia,39
Gleditsia,9
Gymnocladus,1
Acrocarpus,1
Erythrophleum,1
Entada,4
Parkia,2
Acacia,24
Albizia,16
Archidendron,18
Calliandra,2
Adenanthera,1
Peltophorum,2
Caesalpinia,20
Pterolobium,2
Cassia,4
Polygala,57
Salomonia,2
Securidaca,2
Xanthophyllum,4
Stephanandra,2
Neillia,25
Physocarpus,1
Prinsepia,6
Exochorda,5
Kerria,1
Cotoneaster,111
Stranvaesia,9
Photinia,79
Sorbus,101
Amelanchier,2
Dichotomanthes,4
Docynia,2
Malus,38
Cydonia,1
Pyrus,22
Eriobotrya,15
Rhaphiolepis,13
Chaenomeles,5
Pyracantha,10
Crataegus,25
Padus,20
Laurocerasus,13
Maddenia,6
Pygeum,8
Prunus,14
Amygdalus,13
Cerasus,60
Armeniaca,25
Sorbaria,8
Spiraea,135
Dryas,1
Filipendula,9
Rubus,378
Chamaerhodos,5
Potaninia,1
Potentilla,173
Fragaria,12
Osteomeles,7
Sibbaldia,17
Alchemilla,3
Comarum,2
Duchesnea,4
Rosa,166
Sanguisorba,16
Acomastylis,4
Spenceria,3
Agrimonia,6
Geum,3
Waldsteinia,1
Taihangia,3
Coluria,6
Ventilago,10
Ziziphus,15
Rhamnus,85
Sageretia,24
Rhamnella,8
Berchemiella,4
Berchemia,30
Scutia,1
Gouania,5
Hovenia,7
Paliurus,5
Colubrina,2
Alphitonia,1
Elaeagnus,84
Hippophae,14
Hemiptelea,1
Ulmus,32
Zelkova,3
Aphananthe,4
Gironniera,1
Pteroceltis,1
Humulus,3
Celtis,13
Trema,8
Maoutia,2
Leucosyke,1
Parietaria,1
Chamabainia,1
Pipturus,1
Gonostegia,3
Pouzolzia,10
Debregeasia,6
Archiboehmeria,1
Boehmeria,40
Cypholophus,1
Oreocnide,15
Pilea,116
Lecanthus,5
Procris,1
Pellionia,25
Elatostema,255
Laportea,7
Urtica,22
Dendrocnide,6
Poikilospermum,3
Girardinia,4
Artocarpus,16
Morus,15
Broussonetia,4
Malaisia,1
Fatoua,2
Streblus,7
Antiaris,1
Ficus,137
Maclura,5
Coriaria,3
Zanonia,3
Actinostemma,3
Bolbostemma,4
Indofevillea,1
Siraitia,3
Hodgsonia,1
Trichosanthes,41
Diplocyclos,1
Cucumis,8
Mukia,2
Zehneria,4
Solena,3
Schizopepon,11
Edgaria,1
Herpetospermum,1
Biswarea,1
Momordica,5
Thladiantha,29
Gynostemma,18
Neoalsomitra,1
Gomphogyne,3
Hemsleya,44
Tetrameles,1
Begonia,221
Formanodendron,1
Quercus,40
Cyclobalanopsis,76
Lithocarpus,145
Castanopsis,66
Fagus,5
Rhoiptelea,1
Engelhardia,7
Carya,5
Annamocarya,1
Platycarya,2
Cyclocarya,1
Pterocarya,8
Juglans,3
Myrica,4
Betula,44
Corylus,11
Carpinus,47
Ostrya,5
Ostryopsis,3
Alnus,10
Parnassia,81
Microtropis,32
Monimopetalum,1
Maytenus,7
Gymnosporia,11
Loeseneriella,5
Plagiopteron,1
Pristimera,4
Salacia,10
Tripterygium,1
Celastrus,35
Euonymus,97
Glyptopetalum,10
Pleurostylia,1
Linum,9
Anisadenia,2
Reinwardtia,1
Tirpitzia,2
Garcinia,20
Calophyllum,4
Mesua,1
Mammea,1
Hypericum,93
Triadenum,2
Cratoxylum,4
Dalzellia,1
Cladopus,2
Hydrobryum,1
Elatine,3
Tristellateia,1
Hiptage,14
Aspidopterys,11
Gynocardia,1
Hydnocarpus,3
Passiflora,20
Adenia,3
Rinorea,4
Hybanthus,1
Viola,131
Itoa,3
Carrierea,2
Poliothyrsis,1
Populus,134
Salix,460
Idesia,4
Bennettiodendron,1
Xylosma,5
Flacourtia,5
Scolopia,4
Homalium,10
Casearia,9
Putranjiva,1
Drypetes,13
Erythroxylum,2
Pellacalyx,1
Carallia,4
Ceriops,1
Kandelia,1
Rhizophora,3
Bruguiera,3
Microdesmis,1
Bhesa,1
Margaritaria,1
Phyllanthus,36
Sauropus,15
Breynia,5
Phyllanthodendron,10
Glochidion,30
Richeriella,1
Flueggea,4
Bridelia,7
Cleistanthus,7
Actephila,3
Leptopus,6
Bischofia,2
Baccaurea,2
Antidesma,15
Ixonanthes,1
Dichapetalum,2
Chaetocarpus,1
Suregada,2
Croton,24
Aleurites,1
Vernicia,2
Blachia,4
Strophioblachia,4
Trigonostemon,9
Baliospermum,5
Deutzianthus,1
Ostodes,2
Alchornea,12
Homonoia,1
Discocleidion,2
Cleidiocarpon,1
Epiprinus,1
Cephalomappa,1
Melanolepis,1
Koilodepas,1
Chrozophora,1
Speranskia,2
Cleidion,3
Cnesmone,3
Dalechampia,1
Acalypha,18
Mercurialis,1
Claoxylon,6
Hancea,1
Mallotus,46
Macaranga,10
Endospermum,1
Euphorbia,84
Excoecaria,9
Gymnanthes,1
Triadica,3
Homalanthus,1
Sapria,1
Campylospermum,2
Ochna,1
Sauvagesia,1
Elaeocarpus,55
Sloanea,16
Oxalis,8
Biophytum,3
Rourea,4
Connarus,3
Agelaea,1
Ellipanthus,1
Cnestis,1
Zygophyllum,21
Tetraena,1
Tribulus,2
Geranium,51
Erodium,4
Lumnitzera,2
Terminalia,12
Anogeissus,1
Combretum,12
Quisqualis,2
Getonia,1
Oenothera,10
Epilobium,39
Chamerion,6
Circaea,17
Rotala,10
Woodfordia,1
Pemphis,1
Lythrum,2
Duabanga,2
Lagerstroemia,16
Trapa,2
Sonneratia,6
Ammannia,4
Baeckea,1
Decaspermum,8
Rhodamnia,3
Rhodomyrtus,1
Syzygium,90
Crypteronia,1
Memecylon,14
Astronia,1
Diplectria,1
Sonerila,6
Blastus,9
Sporoxeia,2
Tigridiopalma,1
Sarcopyramis,2
Oxyspora,6
Scorpiothyrsus,3
Fordiophyton,10
Bredia,11
Barthea,3
Allomorphia,4
Cyphotheca,1
Plagiopetalum,2
Medinilla,11
Phyllagathis,28
Osbeckia,9
Melastoma,7
Bretschneidera,1
Azima,1
Borthwickia,1
Stixis,3
Oligomeris,1
Crateva,5
Capparis,38
Sophiopsis,2
Smelowskia,3
Hedinia,1
Descurainia,1
Hornungia,1
Yinshania,21
Crucihimalaya,6
Olimarabidopsis,2
Turritis,1
Arabidopsis,3
Neslia,1
Camelina,2
Erysimum,19
Rorippa,9
Barbarea,5
Cardamine,50
Nasturtium,1
Megacarpaea,3
Lepidium,22
Stevenia,1
Alyssum,10
Berteroa,1
Galitzkya,2
Lignariella,3
Pegaeophyton,6
Thellungiella,3
Eutrema,8
Thlaspi,2
Alliaria,1
Conringia,1
Pachypterygium,2
Isatis,4
Sisymbrium,11
Orychophragmus,4
Crambe,1
Sinapis,2
Brassica,22
Raphanus,2
Goldbachia,3
Draba,54
Arabis,16
Baimashania,2
Pugionium,2
Matthiola,1
Cithareloma,1
Tauscheria,1
Bunias,2
Sterigmostemum,1
Leiospora,4
Tetracme,2
Neotorularia,5
Malcolmia,4
Euclidium,1
Desideria,9
Sisymbriopsis,4
Lachnoloma,1
Leptaleum,1
Christolea,2
Phaeonychium,6
Braya,5
Dilophia,2
Dontostemon,13
Clausia,2
Parrya,4
Diptychocarpus,1
Chorispora,8
Spirorhynchus,1
Microstigma,1
Oreoloma,3
Pseudoarabidopsis,1
Cryptospora,1
Synstemon,2
Pycnoplinthus,1
Eurycarpus,2
Megadenia,1
Litwinowia,1
Platycraspedum,2
Taphrospermum,8
Aphragmus,2
Berteroella,1
Hopea,4
Vatica,3
Helianthemum,1
Dipterocarpus,4
Parashorea,1
Shorea,2
Aquilaria,2
Eriosolena,1
Rhamnoneuron,1
Edgeworthia,4
Diarthron,4
Daphne,69
Thymelaea,1
Stellera,1
Wikstroemia,57
Byttneria,3
Kleinhovia,1
Commersonia,1
Triumfetta,9
Corchorus,6
Grewia,30
Microcos,3
Colona,2
Burretiodendron,2
Excentrodendron,2
Eriolaena,6
Pterospermum,9
Reevesia,19
Helicteres,10
Tilia,39
Craigia,2
Diplodiscus,1
Berrya,1
Pterygota,1
Firmiana,8
Heritiera,3
Sterculia,30
Sida,18
Abutilon,15
Alcea,2
Malva,6
Thespesia,2
Wissadula,1
Kydia,4
Decaschistia,3
Nayariophyton,1
Urena,10
Hibiscus,29
Abelmoschus,8
Bombax,3
Dipentodon,1
Perrottetia,2
Tapiscia,2
Biebersteinia,2
Xanthoceras,1
Delavaya,1
Aesculus,6
Handeliodendron,1
Acer,161
Dipteronia,2
Harpullia,1
Dodonaea,1
Koelreuteria,3
Pavieasia,2
Amesiodendron,1
Paranephelium,2
Lepisanthes,10
Sapindus,6
Xerospermum,1
Dimocarpus,4
Nephelium,3
Allophylus,11
Eurycorymbus,1
Arytera,1
Mischocarpus,3
Dysoxylum,11
Melia,1
Heynea,2
Walsura,2
Aphanamixis,1
Aglaia,8
Reinwardtiodendron,1
Turraea,1
Munronia,3
Cipadessa,1
Chukrasia,1
Toona,5
Xylocarpus,1
Harrisonia,1
Orixa,1
Skimmia,5
Acronychia,1
Melicope,8
Zanthoxylum,63
Toddalia,1
Murraya,11
Phellodendron,4
Tetradium,7
Boenninghausenia,1
Psilopeganum,1
Micromelum,4
Glycosmis,13
Clausena,14
Aegle,1
Citrus,11
Atalantia,7
Luvunga,1
Paramignya,1
Haplophyllum,3
Brucea,2
Ailanthus,9
Picrasma,4
Nitraria,5
Peganum,3
Protium,2
Garuga,4
Canarium,7
Buchanania,4
Cotinus,6
Pegia,2
Semecarpus,4
Mangifera,5
Drimycarpus,2
Rhus,10
Pistacia,2
Toxicodendron,31
Dobinea,2
Lannea,1
Choerospondias,3
Spondias,4
Dracontomelon,2
Staphylea,8
Euscaphis,1
Turpinia,17
Stachyurus,7
Ampelopsis,34
Vitis,54
Ampelocissus,5
Yua,4
Parthenocissus,11
Cissus,17
Cayratia,24
Tetrastigma,62
Leea,10
Tetracera,2
Dillenia,3
Tetracentron,1
Trochodendron,1
Sabia,25
Meliosma,42
Ceratophyllum,3
Kadsura,8
Schisandra,28
Illicium,27
