taxon,n.taxa
Paphiopedilum,36
Cypripedium,36
Disperis,1
Satyrium,4
Peristylus,21
Pecteilis,3
Androcorys,5
Herminium,18
Porolabium,1
Habenaria,57
Diplomeris,2
Brachycorythis,4
Neottianthe,9
Amitostigma,22
Ponerorchis,13
Hemipilia,8
Galearis,5
Dactylorhiza,6
Gymnadenia,7
Platanthera,51
Diphylax,3
Orchis,1
Erythrodes,3
Hylophila,1
Goodyera,30
Zeuxine,15
Vrydagzynea,1
Cheirostylis,18
Odontochilus,11
Chamaegastrodia,3
Rhomboda,4
Kuhlhasseltia,1
Ludisia,1
Anoectochilus,11
Hetaeria,6
Herpysma,1
Spiranthes,4
Cryptostylis,2
Microtis,1
Stigmatodactylus,1
Corybas,6
Tropidia,7
Corymborkis,1
Arundina,1
Anthogonium,1
Thunia,1
Coelogyne,32
Otochilus,4
Neogyna,1
Pholidota,12
Panisea,6
Bulleyia,1
Dendrochilum,1
Bletilla,4
Pleione,25
Dienia,2
Malaxis,2
Oberonioides,1
Crepidium,18
Liparis,68
Oberonia,36
Ypsilorchis,1
Flickingeria,9
Dendrobium,96
Bulbophyllum,134
Monomeria,2
Sunipia,11
Epigeneium,11
Tipularia,4
Changnienia,1
Calypso,1
Eriodes,1
Cephalantheropsis,3
Phaius,10
Calanthe,59
Spathoglottis,3
Acanthephippium,3
Chrysoglossum,2
Nephelaphyllum,1
Hancockia,1
Collabium,3
Tainia,14
Polystachya,1
Papilionanthe,4
Hygrochilus,1
Renanthera,3
Esmeralda,2
Arachnis,3
Uncifera,2
Pomatocalpa,2
Haraella,1
Gastrochilus,30
Vandopsis,2
Cleisostoma,18
Trichoglottis,2
Staurochilus,3
Acampe,3
Smitinandia,1
Schoenorchis,3
Malleola,1
Robiquetia,2
Sarcoglyphis,2
Pelatantheria,4
Diploprora,1
Penkimia,1
Aerides,5
Rhynchostylis,2
Chiloschista,3
Vanda,10
Ascocentrum,3
Neofinetia,3
Holcoglossum,12
Luisia,11
Thrixspermum,16
Ornithochilus,2
Phalaenopsis,15
Sedirea,2
Pteroceras,2
Biermannia,1
Parapteroceras,1
Tuberolabium,1
Pennilabium,1
Taeniophyllum,3
Eulophia,15
Geodorum,6
Acriopsis,1
Cymbidium,63
Cryptochilus,3
Bryobium,1
Ceratostylis,3
Callostylis,2
Oxystophyllum,1
Campanulorchis,1
Cylindrolobus,3
Pinalia,19
Mycaranthes,2
Aeridostachya,1
Trichotosia,4
Appendicula,4
Podochilus,2
Thelasis,2
Phreatia,4
Porpax,1
Conchidium,4
Eria,7
Agrostophyllum,3
Cremastra,5
Oreorchis,11
Corallorhiza,1
Nervilia,10
Epipactis,12
Neottia,37
Holopogon,2
Cephalanthera,10
Tangtsinia,1
Aphyllorchis,5
Ixiolirion,4
Crocus,2
Iris,74
Lycoris,17
Crinum,2
Milula,1
Allium,164
Barnardia,1
Diuranthera,4
Chlorophytum,4
Hosta,4
Asparagus,31
Dracaena,6
Peliosanthes,9
Liriope,7
Ophiopogon,49
Speirantha,1
Reineckea,1
Campylandra,16
Rohdea,1
Aspidistra,67
Tupistra,4
Convallaria,1
Theropogon,1
Maianthemum,22
Heteropolygonatum,6
Disporopsis,6
Polygonatum,39
Thysanotus,1
Hemerocallis,17
Dianella,1
Eremurus,4
Curculigo,7
Smilax,93
Heterosmilax,9
Streptopus,5
Clintonia,1
Gagea,19
Lloydia,10
Tulipa,18
Amana,1
Erythronium,2
Notholirion,3
Lilium,82
Nomocharis,6
Fritillaria,28
