"","Tip","brLegth"
"194","Coelogyne_590",5.905573
"195","Panisea_591",7.103779
"196","Panisea_596",10.245042
"197","Dienia_597",5.642051
"198","Malaxis_598",5.642051
"199","Crepidium_600",5.691005
"200","Crepidium_601",3.697252
"201","Malaxis_602",3.697252
"202","Dienia_604",6.973249
"203","Bulbophyllum_609",2.202632
"204","Bulbophyllum_612",9.12815
"205","Bulbophyllum_613",0.841768
"206","Bulbophyllum_614",11.554078
"207","Renanthera_633",14.009029
"208","Renanthera_636",7.919635
"209","Vandopsis_641",13.171792
"210","Vandopsis_646",12.397689
"211","Schoenorchis_648",6.956971
"212","Sarcoglyphis_651",7.43483
"213","Sarcoglyphis_652",7.43483
"214","Schoenorchis_655",12.224296
"215","Rhynchostylis_658",13.627981
"216","Ascocentrum_661",8.62982
"217","Ascocentrum_663",10.984323
"218","Rhynchostylis_666",11.554449
"219","Phalaenopsis_669",10.308088
"220","Phalaenopsis_670",10.308089
"221","Pteroceras_672",12.623426
"222","Pteroceras_677",3.330675
"223","Ceratostylis_685",6.254109
"224","Ceratostylis_686",7.8977
"225","Pinalia_691",2.351309
"226","Pinalia_693",7.707206
"227","Conchidium_701",16.957861
"228","Conchidium_702",24.207063
"229","Cephalanthera_712",39.378535
"230","Cephalanthera_713",16.64053
"231","Iris_718",9.520877
"232","Iris_719",27.05166
"233","Iris_720",5.9605
"234","Chlorophytum_727",6.145207
"235","Chlorophytum_728",6.227751
"236","Campylandra_737",8.294535
"237","Campylandra_739",8.694788
"238","Smilax_753",0.856473
"239","Smilax_755",6.17939
"240","Smilax_756",56
"241","Lilium_765",5.213244
"242","Lilium_766",4.904381
"243","Nomocharis_767",4.904381
"244","Lilium_768",5.259842
"245","Lilium_769",1.218334
"246","Nomocharis_770",5.047484
"247","Lilium_771",3.293656
"248","Mahonia_821",10.067952
"249","Mahonia_822",6.033787
"250","Anemone_834",6.635611
"251","Anemone_836",0.779713
"252","Clematis_838",1.328117
"253","Clematis_839",0.711385
"254","Clematis_840",1.829213
"255","Naravelia_841",1.829213
"256","Clematis_842",1.914562
"257","Clematis_843",3.250416
"258","Clematis_844",3.222804
"259","Clematis_845",0.724246
"260","Clematis_846",2.468771
"261","Clematis_847",3.001518
"262","Clematis_848",1.069655
"263","Clematis_849",2.901908
"264","Clematis_850",2.211549
"265","Naravelia_851",2.211549
"266","Clematis_852",0.681559
"267","Clematis_853",3.157926
"268","Clematis_854",3.279435
"269","Clematis_855",3.704373
"270","Clematis_856",4.287804
"271","Clematis_857",8.57629
"272","Anemone_858",16.940455
"273","Anemone_859",3.682677
"274","Anemone_860",2.762022
"275","Hepatica_861",2.762022
"276","Hepatica_862",2.841965
"277","Ranunculus_866",3.585318
"278","Ranunculus_867",16.283501
"279","Ranunculus_868",11.728229
"280","Ranunculus_869",8.582868
"281","Ranunculus_870",2.336648
"282","Aconitum_883",26.022099
"283","Delphinium_884",31.568388
"284","Aconitum_885",33.118717
"285","Delphinium_886",6.324184
"286","Delphinium_888",23.11953
"287","Cocculus_910",14.759848
"288","Pachygone_911",6.875833
"289","Cocculus_912",6.875833
