"","Tip","brLegth"
"194","Coelogyne590_",5.905573
"195","Panisea591_",7.103779
"196","Panisea596_",10.245042
"197","Dienia597_",5.642051
"198","Malaxis598_",5.642051
"199","Crepidium600_",5.691005
"200","Crepidium601_",3.697252
"201","Malaxis602_",3.697252
"202","Dienia604_",6.973249
"203","Bulbophyllum609_",2.202632
"204","Bulbophyllum612_",9.12815
"205","Bulbophyllum613_",0.841768
"206","Bulbophyllum614_",11.554078
"207","Renanthera633_",14.009029
"208","Renanthera636_",7.919635
"209","Vandopsis641_",13.171792
"210","Vandopsis646_",12.397689
"211","Schoenorchis648_",6.956971
"212","Sarcoglyphis651_",7.43483
"213","Sarcoglyphis652_",7.43483
"214","Schoenorchis655_",12.224296
"215","Rhynchostylis658_",13.627981
"216","Ascocentrum661_",8.62982
"217","Ascocentrum663_",10.984323
"218","Rhynchostylis666_",11.554449
"219","Phalaenopsis669_",10.308088
"220","Phalaenopsis670_",10.308089
"221","Pteroceras672_",12.623426
"222","Pteroceras677_",3.330675
"223","Ceratostylis685_",6.254109
"224","Ceratostylis686_",7.8977
"225","Pinalia691_",2.351309
"226","Pinalia693_",7.707206
"227","Conchidium701_",16.957861
"228","Conchidium702_",24.207063
"229","Cephalanthera712_",39.378535
"230","Cephalanthera713_",16.64053
"231","Iris718_",9.520877
"232","Iris719_",27.05166
"233","Iris720_",5.9605
"234","Chlorophytum727_",6.145207
"235","Chlorophytum728_",6.227751
"236","Campylandra737_",8.294535
"237","Campylandra739_",8.694788
"238","Smilax753_",0.856473
"239","Smilax755_",6.17939
"240","Smilax756_",56
"241","Lilium765_",5.213244
"242","Lilium766_",4.904381
"243","Nomocharis767_",4.904381
"244","Lilium768_",5.259842
"245","Lilium769_",1.218334
"246","Nomocharis770_",5.047484
"247","Lilium771_",3.293656
"248","Mahonia821_",10.067952
"249","Mahonia822_",6.033787
"250","Anemone834_",6.635611
"251","Anemone836_",0.779713
"252","Clematis838_",1.328117
"253","Clematis839_",0.711385
"254","Clematis840_",1.829213
"255","Naravelia841_",1.829213
"256","Clematis842_",1.914562
"257","Clematis843_",3.250416
"258","Clematis844_",3.222804
"259","Clematis845_",0.724246
"260","Clematis846_",2.468771
"261","Clematis847_",3.001518
"262","Clematis848_",1.069655
"263","Clematis849_",2.901908
"264","Clematis850_",2.211549
"265","Naravelia851_",2.211549
"266","Clematis852_",0.681559
"267","Clematis853_",3.157926
"268","Clematis854_",3.279435
"269","Clematis855_",3.704373
"270","Clematis856_",4.287804
"271","Clematis857_",8.57629
"272","Anemone858_",16.940455
"273","Anemone859_",3.682677
"274","Anemone860_",2.762022
"275","Hepatica861_",2.762022
"276","Hepatica862_",2.841965
"277","Ranunculus866_",3.585318
"278","Ranunculus867_",16.283501
"279","Ranunculus868_",11.728229
"280","Ranunculus869_",8.582868
"281","Ranunculus870_",2.336648
"282","Aconitum883_",26.022099
"283","Delphinium884_",31.568388
"284","Aconitum885_",33.118717
"285","Delphinium886_",6.324184
"286","Delphinium888_",23.11953
"287","Cocculus910_",14.759848
"288","Pachygone911_",6.875833
"289","Cocculus912_",6.875833
